Site,OM,Season,Year,d13C,d15N,SC
EAS,Periphyton,October,2024,-27.59,1.89,16.4
EAS,Periphyton,October,2024,-29.27,1.9,16.4
EAS,Periphyton,October,2024,-28.27,1.09,16.4
EAS,Periphyton,October,2024,-29.28,1.99,16.4
RUT,Periphyton,October,2024,-29.35,1.81,446.72
RUT,Periphyton,October,2024,-29.38,1.69,446.72
RUT,Periphyton,October,2024,-30.24,1.53,446.72
LLW,Periphyton,October,2024,-26.52,2.24,1048.91
LLW,Periphyton,October,2024,-27.55,2.17,1048.91
LLW,Periphyton,October,2024,-28.06,2.18,1048.91
LLW,Periphyton,October,2024,-27.41,2.04,1048.91
CRO,Periphyton,October,2024,-30.17,1.19,39.95
CRO,Periphyton,October,2024,-29.55,1.16,39.95
CRO,Periphyton,October,2024,-29.86,1.22,39.95
CRO,Periphyton,October,2024,-29.71,1.2,39.95
LLC,Periphyton,October,2024,-26.1,-0.74,1082.63
LLC,Periphyton,October,2024,-26.81,-0.67,1082.63
LLC,Periphyton,October,2024,-27.59,-2.36,1082.63
HCN,Periphyton,October,2024,-29.62,1.5,76.63
HCN,Periphyton,October,2024,-36.83,1.42,76.63
HCN,Periphyton,October,2024,-28.98,1.56,76.63
HCN,Periphyton,October,2024,NA,NA,76.63
HUR,Periphyton,October,2024,-27.69,2.15,292.6
HUR,Periphyton,October,2024,-31.65,1.02,292.6
HUR,Periphyton,October,2024,-29.58,1.8,292.6
FRY,Periphyton,October,2024,-29.73,1.41,349.77
FRY,Periphyton,October,2024,-35.71,3.41,349.77
FRY,Periphyton,October,2024,-27.36,1.86,349.77
FRY,Periphyton,October,2024,NA,NA,349.77
RIC,Periphyton,October,2024,NA,NA,1184.81
RIC,Periphyton,October,2024,-20.03,4.17,1184.81
RIC,Periphyton,October,2024,-20.32,4.26,1184.81
RIC,Periphyton,October,2024,-18.39,5.05,1184.81
EAS,CBOM,February,2024,-28.92,-2.58,16.4
EAS,CBOM,February,2024,-29.69,-2.54,16.4
EAS,CBOM,February,2024,-29.19,-1.47,16.4
RUT,CBOM,February,2024,-30.12,-1.79,446.72
RUT,CBOM,February,2024,-29.72,-1.59,446.72
RUT,CBOM,February,2024,-30.81,-1.26,446.72
LLW,CBOM,February,2024,-29.64,-0.13,1048.91
LLW,CBOM,February,2024,-30.12,-0.11,1048.91
LLW,CBOM,February,2024,-30.16,NA,1048.91
CRO,CBOM,February,2024,-30.18,-1.51,39.95
CRO,CBOM,February,2024,-30.46,-1.33,39.95
CRO,CBOM,February,2024,-30.09,-1.67,39.95
CRO,CBOM,February,2024,-29.84,NA,39.95
LLC,CBOM,February,2024,-29.46,0.54,1082.63
LLC,CBOM,February,2024,-28.41,2.63,1082.63
LLC,CBOM,February,2024,-29.84,0.77,1082.63
LLC,CBOM,February,2024,NA,NA,NA
HCN,CBOM,February,2024,-31.27,-0.82,76.63
HCN,CBOM,February,2024,-31.99,-0.87,76.63
HCN,CBOM,February,2024,-30.65,-1.11,76.63
HCN,CBOM,February,2024,NA,-0.94,NA
HUR,CBOM,February,2024,-29.87,-0.29,292.6
HUR,CBOM,February,2024,-30.06,-0.35,292.6
HUR,CBOM,February,2024,-29.64,-1.72,292.6
HUR,CBOM,February,2024,-30.99,-0.58,NA
FRY,CBOM,February,2024,-28.64,-0.01,349.77
FRY,CBOM,February,2024,-29.65,0.13,349.77
FRY,CBOM,February,2024,-29.56,-0.15,349.77
FRY ,CBOM,February,2024,NA,NA,349.77
RIC,CBOM,February,2024,-29.67,-1.02,1184.81
RIC,CBOM,February,2024,-30.21,-0.66,1184.81
RIC,CBOM,February,2024,-29.68,-0.13,1184.81
EAS,FBOM,February,2024,-27.71,1.43,16.4
EAS,FBOM,February,2024,-28.17,1.12,16.4
EAS,FBOM,February,2024,-27.94,1.16,16.4
EAS,FBOM,February,2024,NA,1.4,16.4
RUT,FBOM,February,2024,-28.53,0.47,446.72
RUT,FBOM,February,2024,-28.3,0.85,446.72
RUT,FBOM,February,2024,-28.95,0.79,446.72
LLW,FBOM,February,2024,-27.35,2.62,1048.91
LLW,FBOM,February,2024,-27.54,2.54,1048.91
LLW,FBOM,February,2024,-27.53,2.43,1048.91
CRO,FBOM,February,2024,-28.04,0.85,39.95
CRO,FBOM,February,2024,-28.84,0.62,39.95
CRO,FBOM,February,2024,-28.66,-0.05,39.95
CRO,FBOM,February,2024,-29.17,NA,39.95
LLC,FBOM,February,2024,-27.69,2.76,1082.63
LLC,FBOM,February,2024,-27.73,3.22,1082.63
LLC,FBOM,February,2024,-26.58,3.53,1082.63
LLC,FBOM,February,2024,-26.85,NA,1082.63
HCN,FBOM,February,2024,-29.2,0.92,76.63
HCN,FBOM,February,2024,-29.38,0.04,76.63
HCN,FBOM,February,2024,-29.15,0.33,76.63
HUR,FBOM,February,2024,-28.42,0.82,292.6
HUR,FBOM,February,2024,-28.38,0.8,292.6
HUR,FBOM,February,2024,-28.59,0.87,292.6
HUR,FBOM,February,2024,NA,NA,292.6
FRY,FBOM,February,2024,-26.73,1.96,349.77
FRY,FBOM,February,2024,-27.36,1.15,349.77
FRY,FBOM,February,2024,-27.73,1.8,349.77
FRY,FBOM,February,2024,NA,1.38,349.77
RIC,FBOM,February,2024,-27.58,2.83,1184.81
RIC,FBOM,February,2024,-26.98,2.3,1184.81
RIC,FBOM,February,2024,-26.45,3.08,1184.81
RIC,FBOM,February,2024,NA,3.26,1184.81
EAS,Periphyton,February,2024,-28.14,-0.41,16.4
EAS,Periphyton,February,2024,-25.79,1.04,16.4
EAS,Periphyton,February,2024,-28.28,NA,16.4
RUT,Periphyton,February,2024,-29.71,0.17,446.72
RUT,Periphyton,February,2024,-29.49,1.79,446.72
RUT,Periphyton,February,2024,-28.53,NA,446.72
LLW,Periphyton,February,2024,-21.52,2.13,1048.91
LLW,Periphyton,February,2024,-22.29,0.67,1048.91
LLW,Periphyton,February,2024,-24.82,2.34,1048.91
CRO,Periphyton,February,2024,-28.12,-0.15,39.95
CRO,Periphyton,February,2024,-28,-0.07,39.95
CRO,Periphyton,February,2024,-28.1,NA,39.95
CRO,Periphyton,February,2024,NA,NA,39.95
LLC,Periphyton,February,2024,-27.48,6.64,1082.63
LLC,Periphyton,February,2024,-27.44,1.94,1082.63
LLC,Periphyton,February,2024,-26.74,2.74,1082.63
LLC,Periphyton,February,2024,-26.82,NA,1082.63
HCN,Periphyton,February,2024,-27.98,0.92,76.63
HCN,Periphyton,February,2024,-31.64,0.9,76.63
HCN,Periphyton,February,2024,-26.86,0.89,76.63
HUR,Periphyton,February,2024,-27.12,-0.31,292.6
HUR,Periphyton,February,2024,-29.32,1.19,292.6
HUR,Periphyton,February,2024,-29.16,1.4,292.6
HUR,Periphyton,February,2024,-29.32,1.98,292.6
FRY,Periphyton,February,2024,-27.52,1.18,349.77
FRY,Periphyton,February,2024,-23.42,0.79,349.77
FRY,Periphyton,February,2024,-23.97,NA,349.77
RIC,Periphyton,February,2024,NA,2.98,1184.81
RIC,Periphyton,February,2024,-22.01,2.34,1184.81
RIC,Periphyton,February,2024,-24.33,NA,1184.81
EAS,CBOM,May,2024,-29.45,-1.15,16.4
EAS,CBOM,May,2024,-29.63,-0.93,16.4
EAS,CBOM,May,2024,-29.67,-1.63,16.4
EAS,CBOM,May,2024,NA,-1.45,16.4
RUT,CBOM,May,2024,-29.65,-1.54,446.72
RUT,CBOM,May,2024,-30.19,-1.55,446.72
RUT,CBOM,May,2024,-30.38,-1.35,446.72
RUT,CBOM,May,2024,NA,NA,446.72
LLW,CBOM,May,2024,-29.78,-0.61,1048.91
LLW,CBOM,May,2024,-29.48,-0.5,1048.91
LLW,CBOM,May,2024,-29.32,-0.11,1048.91
LLW,CBOM,May,2024,NA,-0.4,1048.91
CRO,CBOM,May,2024,-30.01,-1.64,39.95
CRO,CBOM,May,2024,-30.03,-0.79,39.95
CRO,CBOM,May,2024,-28.9,-1.03,39.95
CRO,CBOM,May,2024,NA,NA,39.95
LLC,CBOM,May,2024,-28.56,0.54,1082.63
LLC,CBOM,May,2024,-29.33,-0.4,1082.63
LLC,CBOM,May,2024,NA,NA,1082.63
LLC,CBOM,May,2024,NA,NA,1082.63
HCN,CBOM,May,2024,-29.87,-0.67,76.63
HCN,CBOM,May,2024,-29.93,-0.45,76.63
HCN,CBOM,May,2024,-26.33,-0.02,76.63
HCN,CBOM,May,2024,-27.26,NA,76.63
HUR,CBOM,May,2024,-29.44,-0.81,292.6
HUR,CBOM,May,2024,-30.1,-0.56,292.6
HUR,CBOM,May,2024,-30.44,-0.65,292.6
HUR,CBOM,May,2024,-29.36,-0.57,292.6
FRY,CBOM,May,2024,-29.63,0.16,349.77
FRY,CBOM,May,2024,-27.16,0.91,349.77
FRY,CBOM,May,2024,-29.81,0.17,349.77
FRY,CBOM,May,2024,NA,NA,349.77
RIC,CBOM,May,2024,-30.33,1.41,1184.81
RIC,CBOM,May,2024,-30.22,1.55,1184.81
RIC,CBOM,May,2024,-30.04,1.04,1184.81
RIC,CBOM,May,2024,-29.63,NA,1184.81
EAS,FBOM,May,2024,-27.91,1.07,16.4
EAS,FBOM,May,2024,-27.96,1.08,16.4
EAS,FBOM,May,2024,-27.93,-0.01,16.4
EAS,FBOM,May,2024,-28.21,0.96,16.4
RUT,FBOM,May,2024,-26.84,1.51,446.72
RUT,FBOM,May,2024,-29.25,1.52,446.72
RUT,FBOM,May,2024,-27.59,0.49,446.72
RUT,FBOM,May,2024,-27.86,1.47,446.72
LLW,FBOM,May,2024,-25.9,3.15,1048.91
LLW,FBOM,May,2024,-26.62,3.22,1048.91
LLW,FBOM,May,2024,-25.69,2.83,1048.91
LLW,FBOM,May,2024,-26.68,3.38,1048.91
CRO,FBOM,May,2024,-28.54,-0.19,39.95
CRO,FBOM,May,2024,-28.94,-0.01,39.95
CRO,FBOM,May,2024,-29.15,-0.34,39.95
CRO,FBOM,May,2024,NA,NA,39.95
LLC,FBOM,May,2024,-26.83,2.47,1082.63
LLC,FBOM,May,2024,-25.31,1.67,1082.63
LLC,FBOM,May,2024,-26.74,1.73,1082.63
LLC,FBOM,May,2024,NA,NA,1082.63
HCN,FBOM,May,2024,-25.23,2,76.63
HCN,FBOM,May,2024,-28.42,0.73,76.63
HCN,FBOM,May,2024,-28.31,0.34,76.63
HCN,FBOM,May,2024,NA,NA,76.63
HUR,FBOM,May,2024,-26.63,2.68,292.6
HUR,FBOM,May,2024,-27.24,1.9,292.6
HUR,FBOM,May,2024,-27.72,2.38,292.6
HUR,FBOM,May,2024,NA,NA,292.6
FRY,FBOM,May,2024,NA,1.34,349.77
FRY,FBOM,May,2024,-25.78,0.46,349.77
FRY,FBOM,May,2024,-25.87,0.82,349.77
FRY,FBOM,May,2024,-26.95,NA,349.77
RIC,FBOM,May,2024,-27.14,3.08,1184.81
RIC,FBOM,May,2024,-28.22,2.09,1184.81
RIC,FBOM,May,2024,-26.4,2.66,1184.81
RIC,FBOM,May,2024,NA,NA,1184.81
EAS,Periphyton,May,2024,-24.62,-0.26,16.4
EAS,Periphyton,May,2024,-24.75,1.15,16.4
EAS,Periphyton,May,2024,-26.63,-0.32,16.4
EAS,Periphyton,May,2024,NA,NA,16.4
RUT,Periphyton,May,2024,-28.39,1.16,446.72
RUT,Periphyton,May,2024,-27.44,NA,446.72
RUT,Periphyton,May,2024,-26.72,NA,446.72
RUT,Periphyton,May,2024,NA,NA,446.72
LLW,Periphyton,May,2024,-24.04,2.1,1048.91
LLW,Periphyton,May,2024,-25.99,NA,1048.91
LLW,Periphyton,May,2024,NA,NA,1048.91
LLW,Periphyton,May,2024,NA,NA,1048.91
CRO,Periphyton,May,2024,-27.67,-0.04,39.95
CRO,Periphyton,May,2024,-27.19,0.37,39.95
CRO,Periphyton,May,2024,-27.4,0.58,39.95
CRO,Periphyton,May,2024,-28.13,NA,39.95
LLC,Periphyton,May,2024,-26.64,NA,1082.63
LLC,Periphyton,May,2024,-26.13,NA,1082.63
LLC,Periphyton,May,2024,-25.19,NA,1082.63
LLC,Periphyton,May,2024,-25.35,NA,1082.63
HCN,Periphyton,May,2024,-25.99,0.83,76.63
HCN,Periphyton,May,2024,-26.66,0.69,76.63
HCN,Periphyton,May,2024,-27.64,0.53,76.63
HCN,Periphyton,May,2024,NA,NA,76.63
HUR,Periphyton,May,2024,-28.22,NA,292.6
HUR,Periphyton,May,2024,-27.28,NA,292.6
HUR,Periphyton,May,2024,-26.62,NA,292.6
HUR,Periphyton,May,2024,-26.54,NA,292.6
FRY,Periphyton,May,2024,-26.89,1.36,349.77
FRY,Periphyton,May,2024,-26.14,1.59,349.77
FRY,Periphyton,May,2024,-26.7,NA,349.77
FRY,Periphyton,May,2024,NA,NA,349.77
RIC,Periphyton,May,2024,-25.03,3.98,1184.81
RIC,Periphyton,May,2024,-21.33,4.3,1184.81
RIC,Periphyton,May,2024,-21.45,6.58,1184.81
RIC,Periphyton,May,2024,NA,NA,1184.81
EAS,CBOM,August,2024,-29.82,-2.53,16.4
EAS,CBOM,August,2024,-31.64,-2.66,16.4
EAS,CBOM,August,2024,-29.9,-1.74,16.4
EAS,CBOM,August,2024,-31.2,NA,16.4
RUT,CBOM,August,2024,-31.97,-1.54,446.72
RUT,CBOM,August,2024,-31.4,-1.8,446.72
RUT,CBOM,August,2024,-29.5,-2.56,446.72
RUT,CBOM,August,2024,NA,NA,446.72
LLW,CBOM,August,2024,-29.65,0.18,1048.91
LLW,CBOM,August,2024,-29.94,0.52,1048.91
LLW,CBOM,August,2024,-31.17,-0.87,1048.91
LLW,CBOM,August,2024,NA,NA,1048.91
CRO,CBOM,August,2024,-29.99,-1.3,39.95
CRO,CBOM,August,2024,-29.81,-1.03,39.95
CRO,CBOM,August,2024,-30.2,-1.21,39.95
CRO,CBOM,August,2024,NA,-1.31,39.95
LLC,CBOM,August,2024,-28.88,1.48,1082.63
LLC,CBOM,August,2024,-29.37,2.14,1082.63
LLC,CBOM,August,2024,-30.13,1.5,1082.63
LLC,CBOM,August,2024,NA,NA,1082.63
HCN,CBOM,August,2024,-29.38,-0.32,76.63
HCN,CBOM,August,2024,-26.6,0.11,76.63
HCN,CBOM,August,2024,-30.25,-1.43,76.63
HCN,CBOM,August,2024,NA,NA,76.63
HUR,CBOM,August,2024,-30.54,-1.49,292.6
HUR,CBOM,August,2024,-30.32,-1,292.6
HUR,CBOM,August,2024,-30.45,-1.02,292.6
HUR,CBOM,August,2024,-30.32,-0.14,292.6
FRY,CBOM,August,2024,-30.67,-0.66,349.77
FRY,CBOM,August,2024,-29.96,-0.33,349.77
FRY,CBOM,August,2024,-30.57,-0.11,349.77
FRY,CBOM,August,2024,NA,NA,349.77
RIC,CBOM,August,2024,-27.5,0.97,1184.81
RIC,CBOM,August,2024,-28.84,1.34,1184.81
RIC,CBOM,August,2024,-31.94,0.15,1184.81
RIC,CBOM,August,2024,-30.27,1.38,1184.81
EAS,FBOM,August,2024,-28.31,0.4,16.4
EAS,FBOM,August,2024,-27.93,0.81,16.4
EAS,FBOM,August,2024,-28.09,0.72,16.4
EAS,FBOM,August,2024,-28.19,NA,16.4
RUT,FBOM,August,2024,-28.73,0.39,446.72
RUT,FBOM,August,2024,-28.2,0.49,446.72
RUT,FBOM,August,2024,-28.49,0.55,446.72
RUT,FBOM,August,2024,NA,0.54,446.72
LLW,FBOM,August,2024,-27.28,1.97,1048.91
LLW,FBOM,August,2024,-27.65,1.36,1048.91
LLW,FBOM,August,2024,-25.53,1.83,1048.91
LLW,FBOM,August,2024,NA,NA,1048.91
CRO,FBOM,August,2024,-28.83,0.03,39.95
CRO,FBOM,August,2024,-28.62,0.32,39.95
CRO,FBOM,August,2024,-28.64,-0.51,39.95
CRO,FBOM,August,2024,NA,,39.95
LLC,FBOM,August,2024,-26.4,1.5,1082.63
LLC,FBOM,August,2024,-25.17,1.3,1082.63
LLC,FBOM,August,2024,-25.39,1.52,1082.63
LLC,FBOM,August,2024,NA,1.67,1082.63
HCN,FBOM,August,2024,-29.61,-0.09,76.63
HCN,FBOM,August,2024,-29.59,0.29,76.63
HCN,FBOM,August,2024,-29.11,-0.07,76.63
HCN,FBOM,August,2024,NA,-0.2,76.63
HUR,FBOM,August,2024,-27.95,0.37,292.6
HUR,FBOM,August,2024,-27.83,0.78,292.6
HUR,FBOM,August,2024,-26.3,1.03,292.6
HUR,FBOM,August,2024,-27.19,NA,292.6
FRY,FBOM,August,2024,-25.31,1.43,349.77
FRY,FBOM,August,2024,-26.25,2.1,349.77
FRY,FBOM,August,2024,-26.71,0.76,349.77
FRY,FBOM,August,2024,NA,NA,349.77
RIC,FBOM,August,2024,-27.51,2.41,1184.81
RIC,FBOM,August,2024,-26.45,2.64,1184.81
RIC,FBOM,August,2024,-26.85,2.73,1184.81
RIC,FBOM,August,2024,-27.65,NA,1184.81
EAS,Periphyton,August,2024,-31.31,2.07,16.4
EAS,Periphyton,August,2024,-29.32,2.05,16.4
EAS,Periphyton,August,2024,NA,NA,16.4
EAS,Periphyton,August,2024,NA,NA,16.4
RUT,Periphyton,August,2024,-29.01,1.69,446.72
RUT,Periphyton,August,2024,-27.91,1.28,446.72
RUT,Periphyton,August,2024,NA,NA,446.72
RUT,Periphyton,August,2024,NA,NA,446.72
LLW,Periphyton,August,2024,-23.49,1.99,1048.91
LLW,Periphyton,August,2024,NA,NA,1048.91
LLW,Periphyton,August,2024,NA,NA,1048.91
LLW,Periphyton,August,2024,NA,NA,1048.91
CRO,Periphyton,August,2024,-30.33,1.01,39.95
CRO,Periphyton,August,2024,-30.23,1.35,39.95
CRO,Periphyton,August,2024,-29.1,1.7,39.95
CRO,Periphyton,August,2024,NA,NA,39.95
LLC,Periphyton,August,2024,-27.09,1.4,1082.63
LLC,Periphyton,August,2024,-27.63,0.7,1082.63
LLC,Periphyton,August,2024,NA,NA,1082.63
LLC,Periphyton,August,2024,NA,NA,1082.63
HCN,Periphyton,August,2024,-28.4,0.92,76.63
HCN,Periphyton,August,2024,-30.68,1.79,76.63
HCN,Periphyton,August,2024,-30.45,2.96,76.63
HCN,Periphyton,August,2024,NA,NA,76.63
HUR,Periphyton,August,2024,-28.27,2.02,292.6
HUR,Periphyton,August,2024,-28.27,1.41,292.6
HUR,Periphyton,August,2024,NA,NA,292.6
HUR,Periphyton,August,2024,NA,NA,292.6
FRY,Periphyton,August,2024,-26.96,2.59,349.77
FRY,Periphyton,August,2024,-25.77,1.02,349.77
FRY,Periphyton,August,2024,-27.31,1.85,349.77
FRY,Periphyton,August,2024,NA,NA,349.77
RIC,Periphyton,August,2024,-23.08,2.53,1184.81
RIC,Periphyton,August,2024,-20.38,0.83,1184.81
RIC,Periphyton,August,2024,-20.61,3.46,1184.81
RIC,Periphyton,August,2024,-20.62,3.75,1184.81
