Site,OM,Season,C,N,C_N,SC
LLW,Periphyton,October,4.07,0.39,10.44,1048.91
LLW,Periphyton,October,4.62,0.58,7.97,1048.91
LLW,Periphyton,October,3.96,0.41,9.66,1048.91
LLW,Periphyton,October,NA,NA,NA,1048.91
CRO,Periphyton,October,5.84,0.78,7.49,39.95
CRO,Periphyton,October,5.19,0.73,7.11,39.95
CRO,Periphyton,October,0.12,0.5,0.24,39.95
CRO,Periphyton,October,NA,NA,NA,39.95
LLC,Periphyton,October,5.15,0.69,7.46,1082.63
LLC,Periphyton,October,2.67,0.33,8.09,1082.63
LLC,Periphyton,October,4.84,0.63,7.68,1082.63
HCN,Periphyton,October,5.12,0.61,8.39,76.63
HCN,Periphyton,October,5.22,0.93,5.61,76.63
HCN,Periphyton,October,4.97,0.48,10.35,76.63
HCN,Periphyton,October,NA,NA,NA,76.63
HUR,Periphyton,October,4.26,0.56,7.61,292.6
HUR,Periphyton,October,4.46,0.62,7.19,292.6
HUR,Periphyton,October,4.65,0.59,7.88,292.6
FRY,Periphyton,October,7.96,0.87,9.15,349.77
FRY,Periphyton,October,7,1,7,349.77
FRY,Periphyton,October,2.03,0.33,6.15,349.77
FRY,Periphyton,October,NA,NA,NA,349.77
RIC,Periphyton,October,8.34,0.7,11.91,1184.81
RIC,Periphyton,October,5.01,0.6,8.35,1184.81
RIC,Periphyton,October,6.13,0.69,8.88,1184.81
RIC,Periphyton,October,NA,NA,NA,1184.81
EAS,CBOM,February,43.88,0.75,58.51,16.4
EAS,CBOM,February,43.27,0.8,54.09,16.4
EAS,CBOM,February,39.97,0.72,55.51,16.4
EAS,CBOM,February,NA,NA,NA,16.4
RUT,CBOM,February,29.99,0.58,51.71,446.72
RUT,CBOM,February,38.44,0.81,47.46,446.72
RUT,CBOM,February,29.58,0.68,43.5,446.72
LLW,CBOM,February,39.94,1.2,33.28,1048.91
LLW,CBOM,February,43.78,0.92,47.59,1048.91
LLW,CBOM,February,NA,NA,NA,1048.91
CRO,CBOM,February,45.08,0.99,45.54,39.95
CRO,CBOM,February,42,1.04,40.38,39.95
CRO,CBOM,February,41.51,1.6,25.94,39.95
CRO,CBOM,February,NA,NA,NA,39.95
LLC,CBOM,February,41.83,1.17,35.75,1082.63
LLC,CBOM,February,39.48,0.97,40.7,1082.63
LLC,CBOM,February,41.04,1.02,40.24,1082.63
LLC,CBOM,February,NA,NA,NA,1083.63
HCN,CBOM,February,38.65,1.26,30.67,76.63
HCN,CBOM,February,42.2,1.28,32.97,76.63
HCN,CBOM,February,41.29,1.21,34.12,76.63
HCN,CBOM,February,NA,NA,NA,76.63
HUR,CBOM,February,37.66,1.1,34.24,292.6
HUR,CBOM,February,42.85,1.09,39.31,292.6
HUR,CBOM,February,34.78,1.03,33.77,292.6
HUR,CBOM,February,39.84,1.2,33.2,292.6
FRY,CBOM,February,18.27,0.77,23.73,349.77
FRY,CBOM,February,36.66,1.24,29.56,349.77
FRY,CBOM,February,40.88,1.14,35.86,349.77
FRY,CBOM,February,NA,NA,NA,349.77
RIC,CBOM,February,42.7,0.87,49.08,1184.81
RIC,CBOM,February,40.08,0.76,52.74,1184.81
RIC,CBOM,February,38.08,1,38.08,1184.81
RIC,CBOM,February,NA,NA,NA,1185.81
EAS,FBOM,February,4.9,0.34,14.41,16.4
EAS,FBOM,February,7.46,0.33,22.61,16.4
EAS,FBOM,February,6.55,0.44,14.89,16.4
EAS,FBOM,February,NA,NA,NA,16.4
RUT,FBOM,February,7.72,0.6,12.87,446.72
RUT,FBOM,February,7.7,0.51,15.1,446.72
RUT,FBOM,February,9.22,0.41,22.49,446.72
RUT,FBOM,February,NA,NA,NA,446.72
LLW,FBOM,February,3.41,0.28,12.18,1048.91
LLW,FBOM,February,3.6,0.33,10.91,1048.91
LLW,FBOM,February,5.13,0.34,15.09,1048.91
LLW,FBOM,February,NA,NA,NA,1048.91
CRO,FBOM,February,3.81,0.29,13.14,39.95
CRO,FBOM,February,3.18,0.21,15.14,39.95
CRO,FBOM,February,3.9,0.51,7.65,39.95
CRO,FBOM,February,5.11,NA,NA,39.95
LLC,FBOM,February,4.97,0.3,16.57,1082.63
LLC,FBOM,February,4.2,0.18,23.33,1082.63
LLC,FBOM,February,3.22,0.26,12.38,1082.63
LLC,FBOM,February,3.42,NA,NA,1082.63
HCN,FBOM,February,7.37,0.36,20.47,76.63
HCN,FBOM,February,4.32,0.4,10.8,76.63
HCN,FBOM,February,7.36,0.38,19.37,76.63
HCN,FBOM,February,NA,NA,NA,76.63
HUR,FBOM,February,3.38,0.32,10.56,292.6
HUR,FBOM,February,4.17,0.32,13.03,292.6
HUR,FBOM,February,4.64,0.42,11.05,292.6
FRY,FBOM,February,5.06,0.35,14.46,349.77
FRY,FBOM,February,6.53,0.33,19.79,349.77
FRY,FBOM,February,NA,NA,NA,349.77
FRY,FBOM,February,NA,NA,NA,349.77
RIC,FBOM,February,2.83,0.27,10.48,1184.81
RIC,FBOM,February,4.42,0.26,17,1184.81
RIC,FBOM,February,3.65,0.3,12.17,1184.81
RIC,FBOM,February,NA,0.25,NA,1184.81
EAS,Periphyton,February,NA,NA,NA,16.4
EAS,Periphyton,February,2.17,0.35,6.2,16.4
EAS,Periphyton,February,2.24,0.29,7.72,16.4
RUT,Periphyton,February,0.75,NA,NA,16.4
RUT,Periphyton,February,2.89,0.28,10.32,446.72
RUT,Periphyton,February,2.4,0.28,8.57,446.72
RUT,Periphyton,February,NA,NA,NA,446.72
LLW,Periphyton,February,3.62,0.45,8.04,1048.91
LLW,Periphyton,February,2.32,0.45,5.16,1048.91
LLW,Periphyton,February,2.14,0.23,9.3,1048.91
LLW,Periphyton,February,NA,NA,NA,1048.91
CRO,Periphyton,February,1.1,NA,NA,39.95
CRO,Periphyton,February,7.48,0.84,8.9,39.95
CRO,Periphyton,February,6.71,0.64,10.48,39.95
CRO,Periphyton,February,NA,NA,NA,39.95
LLC,Periphyton,February,2.01,0.21,9.57,1082.63
LLC,Periphyton,February,NA,NA,NA,1082.63
LLC,Periphyton,February,2.87,0.31,9.26,1082.63
LLC,Periphyton,February,2.98,0.25,11.92,1082.63
HCN,Periphyton,February,4.1,0.74,5.54,76.63
HCN,Periphyton,February,3.5,0.68,5.15,76.63
HCN,Periphyton,February,2.95,0.68,4.34,76.63
HCN,Periphyton,February,NA,NA,NA,76.63
HUR,Periphyton,February,2.53,0.38,6.66,292.6
HUR,Periphyton,February,1.53,0.34,4.5,292.6
HUR,Periphyton,February,2.16,0.38,5.68,292.6
HUR,Periphyton,February,2.19,0.33,6.64,292.6
FRY,Periphyton,February,5.15,0.62,8.31,349.77
FRY,Periphyton,February,2.92,0.48,6.08,349.77
FRY,Periphyton,February,NA,NA,NA,349.77
FRY,Periphyton,February,NA,NA,NA,349.77
RIC,Periphyton,February,2.45,0.29,8.45,1184.81
RIC,Periphyton,February,2.2,0.38,5.79,1184.81
RIC,Periphyton,February,NA,NA,NA,1184.81
RIC,Periphyton,February,NA,NA,NA,1184.81
EAS,CBOM,May,35.93,1.01,35.57,16.4
EAS,CBOM,May,24.04,0.81,29.68,16.4
EAS,CBOM,May,37.49,1.11,33.77,16.4
EAS,CBOM,May,,1.21,0,16.4
RUT,CBOM,May,40.63,0.72,56.43,446.72
RUT,CBOM,May,38.28,0.99,38.67,446.72
RUT,CBOM,May,27.38,1.01,27.11,446.72
LLW,CBOM,May,34.31,1.19,28.83,1048.91
LLW,CBOM,May,17.42,1.3,13.4,1048.91
LLW,CBOM,May,33.85,0.85,39.82,1048.91
LLW,CBOM,May,NA,NA,NA,1048.91
CRO,CBOM,May,37.57,1.29,29.12,39.95
CRO,CBOM,May,32.05,1.25,25.64,39.95
CRO,CBOM,May,38.62,1,38.62,39.95
CRO,CBOM,May,NA,NA,NA,39.95
LLC,CBOM,May,25.52,1.18,21.63,1082.63
LLC,CBOM,May,25.96,2.16,12.02,1082.63
LLC,CBOM,May,NA,NA,NA,1082.63
LLC,CBOM,May,NA,NA,NA,1082.63
HCN,CBOM,May,38.3,1.19,32.18,76.83
HCN,CBOM,May,16.43,0.84,19.56,76.83
HCN,CBOM,May,35.21,0.88,40.01,76.83
HCN,CBOM,May,NA,NA,NA,76.83
HUR,CBOM,May,31.66,1.01,31.35,292.6
HUR,CBOM,May,35.25,1.16,30.39,292.6
HUR,CBOM,May,40.44,1.23,32.88,292.6
HUR,CBOM,May,40.62,0.85,47.79,292.6
FRY,CBOM,May,29.79,1.02,29.21,349.77
FRY,CBOM,May,30.76,0.84,36.62,349.77
FRY,CBOM,May,26.21,0.93,28.18,349.77
FRY,CBOM,May,NA,NA,NA,349.77
RIC,CBOM,May,27.41,1.02,26.87,1184.81
RIC,CBOM,May,34.46,1.1,31.33,1184.81
RIC,CBOM,May,28.71,0.85,33.78,1184.81
RIC,CBOM,May,NA,NA,NA,1184.81
EAS,FBOM,May,3.01,0.4,7.53,16.4
EAS,FBOM,May,3.69,0.51,7.24,16.4
EAS,FBOM,May,6.68,0.51,13.1,16.4
EAS,FBOM,May,8.96,0.65,13.78,16.4
RUT,FBOM,May,3.63,0.2,18.15,446.72
RUT,FBOM,May,12.13,0.21,57.76,446.72
RUT,FBOM,May,2.31,0.56,4.13,446.72
RUT,FBOM,May,3.38,0.26,13,446.72
LLW,FBOM,May,2.81,0.2,14.05,1048.91
LLW,FBOM,May,3.21,0.21,15.29,1048.91
LLW,FBOM,May,3.07,0.24,12.79,1048.91
LLW,FBOM,May,3.67,0.27,13.59,1048.91
CRO,FBOM,May,3.45,0.32,10.78,39.95
CRO,FBOM,May,4.25,0.38,11.18,39.95
CRO,FBOM,May,7.45,0.42,17.74,39.95
CRO,FBOM,May,NA,NA,NA,39.95
LLC,FBOM,May,5.51,0.57,9.67,1082.63
LLC,FBOM,May,2.67,0.16,16.69,1082.63
LLC,FBOM,May,4,0.21,19.05,1082.63
LLC,FBOM,May,NA,NA,NA,1082.63
HCN,FBOM,May,5.13,0.19,27,76.83
HCN,FBOM,May,3.1,0.36,8.61,76.83
HCN,FBOM,May,4.49,0.55,8.16,76.83
HCN,FBOM,May,NA,NA,NA,76.83
HUR,FBOM,May,2.9,0.19,15.26,292.6
HUR,FBOM,May,3.76,0.24,15.67,292.6
HUR,FBOM,May,3.6,0.21,17.14,292.6
FRY,FBOM,May,3.91,0.37,10.57,349.77
FRY,FBOM,May,5.25,0.41,12.8,349.77
FRY,FBOM,May,7.65,0.54,14.17,349.77
FRY,FBOM,May,NA,NA,NA,349.77
RIC,FBOM,May,6.88,0.53,12.98,1184.81
RIC,FBOM,May,9.18,0.37,24.81,1184.81
RIC,FBOM,May,3.48,0.32,10.88,1184.81
RIC,FBOM,May,NA,NA,NA,1184.81
EAS,Periphyton,May,NA,NA,NA,16.4
EAS,Periphyton,May,1.96,0.44,4.45,16.4
EAS,Periphyton,May,1.94,0.28,6.93,16.4
EAS,Periphyton,May,2.5,0.52,4.81,16.4
RUT,Periphyton,May,1.29,0.29,4.45,446.72
RUT,Periphyton,May,0.84,2.71,0.31,446.72
RUT,Periphyton,May,1.15,4.42,0.26,446.72
LLW,Periphyton,May,2.32,0.34,6.82,1048.91
LLW,Periphyton,May,1.48,0.24,6.17,1048.91
LLW,Periphyton,May,1.55,0.17,9.12,1048.91
LLW,Periphyton,May,NA,NA,NA,1048.91
CRO,Periphyton,May,1.11,0.18,6.17,39.95
CRO,Periphyton,May,1.27,0.17,7.47,39.95
CRO,Periphyton,May,1.82,0.37,4.92,39.95
CRO,Periphyton,May,1.55,4.84,0.32,39.95
LLC,Periphyton,May,0.66,2.82,0.23,1082.63
LLC,Periphyton,May,0.99,3.04,0.33,1082.63
LLC,Periphyton,May,NA,NA,NA,1082.63
LLC,Periphyton,May,NA,NA,NA,1082.63
HCN,Periphyton,May,1.67,0.29,5.76,76.83
HCN,Periphyton,May,1.81,0.3,6.03,76.83
HCN,Periphyton,May,2.18,0.39,5.59,76.83
HCN,Periphyton,May,NA,NA,NA,76.83
HUR,Periphyton,May,0.85,3,0.28,292.6
HUR,Periphyton,May,1.02,3.79,0.27,292.6
HUR,Periphyton,May,1.07,3.68,0.29,292.6
FRY,Periphyton,May,1.12,0.15,7.47,349.77
FRY,Periphyton,May,1.19,0.21,5.67,349.77
FRY,Periphyton,May,1.74,0.34,5.12,349.77
FRY,Periphyton,May,1.27,5.33,0.24,349.77
RIC,Periphyton,May,2.94,0.33,8.91,1184.81
RIC,Periphyton,May,2.64,0.49,5.39,1184.81
RIC,Periphyton,May,2.05,0.31,6.61,1184.81
RIC,Periphyton,May,NA,NA,NA,1184.81
EAS,CBOM,August,46.1,0.92,50.11,16.4
EAS,CBOM,August,46.19,0.92,50.21,16.4
EAS,CBOM,August,46.12,0.71,64.96,16.4
EAS,CBOM,August,NA,NA,NA,16.4
RUT,CBOM,August,44.78,0.69,64.9,446.72
RUT,CBOM,August,29.38,0.63,46.63,446.72
RUT,CBOM,August,39.23,0.99,39.63,446.72
LLW,CBOM,August,39.46,1.16,34.02,1048.91
LLW,CBOM,August,26.6,1.25,21.28,1048.91
LLW,CBOM,August,29.62,1.7,17.42,1048.91
CRO,CBOM,August,39.33,1.2,32.78,39.95
CRO,CBOM,August,24.77,0.56,44.23,39.95
CRO,CBOM,August,42.07,1.22,34.48,39.95
CRO,CBOM,August,NA,NA,NA,39.95
LLC,CBOM,August,23.49,0.99,23.73,1082.63
LLC,CBOM,August,24.95,1.21,20.62,1082.63
LLC,CBOM,August,32.37,0.77,42.04,1082.63
LLC,CBOM,August,NA,NA,NA,1082.63
HCN,CBOM,August,40.54,1.22,33.23,76.83
HCN,CBOM,August,33.44,0.71,47.1,76.83
HCN,CBOM,August,41.51,1.16,35.78,76.83
HUR,CBOM,August,37.27,1.58,23.59,292.6
HUR,CBOM,August,41.18,1.87,22.02,292.6
HUR,CBOM,August,39.74,1.87,21.25,292.6
HUR,CBOM,August,19.91,0.65,30.63,292.6
FRY,CBOM,August,42.86,1.27,33.75,349.77
FRY,CBOM,August,39.81,1.59,25.04,349.77
FRY,CBOM,August,37.94,1.43,26.53,349.77
FRY,CBOM,August,NA,NA,NA,349.77
RIC,CBOM,August,32.08,0.87,36.87,1184.81
RIC,CBOM,August,40.47,0.84,48.18,1184.81
RIC,CBOM,August,42.03,0.91,46.19,1184.81
RIC,CBOM,August,31.36,1.06,29.58,1184.81
EAS,FBOM,August,5.02,0.58,8.66,16.4
EAS,FBOM,August,3.19,0.68,4.69,16.4
EAS,FBOM,August,3.77,0.35,10.77,16.4
EAS,FBOM,August,NA,NA,NA,16.4
RUT,FBOM,August,10.13,0.61,16.61,446.72
RUT,FBOM,August,3.05,0.29,10.52,446.72
RUT,FBOM,August,6.36,0.27,23.56,446.72
RUT,FBOM,August,NA,NA,NA,446.72
LLW,FBOM,August,4.87,0.35,13.91,1048.91
LLW,FBOM,August,6.6,0.49,13.47,1048.91
LLW,FBOM,August,2.88,0.17,16.94,1048.91
LLW,FBOM,August,NA,NA,NA,1048.91
CRO,FBOM,August,3.57,0.33,10.82,39.95
CRO,FBOM,August,3.05,0.28,10.89,39.95
CRO,FBOM,August,4,0.56,7.14,39.95
CRO,FBOM,August,NA,NA,NA,39.95
LLC,FBOM,August,4.54,0.34,13.35,1082.63
LLC,FBOM,August,5.78,0.29,19.93,1082.63
LLC,FBOM,August,3.32,0.27,12.3,1082.63
LLC,FBOM,August,NA,0.21,NA,1082.63
HCN,FBOM,August,3.61,0.5,7.22,76.83
HCN,FBOM,August,10.91,0.77,14.17,76.83
HCN,FBOM,August,3.83,0.46,8.33,76.83
HCN,FBOM,August,NA,0.43,NA,76.83
HUR,FBOM,August,3.37,0.43,7.84,292.6
HUR,FBOM,August,7.46,0.2,37.3,292.6
HUR,FBOM,August,2.75,0.24,11.46,292.6
HUR,FBOM,August,3.01,NA,NA,292.6
FRY,FBOM,August,4.23,0.39,10.85,349.77
FRY,FBOM,August,4.82,0.36,13.39,349.77
FRY,FBOM,August,7.72,0.6,12.87,349.77
FRY,FBOM,August,NA,NA,NA,349.77
RIC,FBOM,August,7.36,0.59,12.47,1184.81
RIC,FBOM,August,3.89,0.42,9.26,1184.81
RIC,FBOM,August,4.41,0.42,10.5,1184.81
RIC,FBOM,August,NA,NA,NA,1184.81
EAS,Periphyton,August,0.89,0.2,4.45,16.4
EAS,Periphyton,August,1.5,0.22,6.82,16.4
EAS,Periphyton,August,1.29,0.23,5.61,16.4
EAS,Periphyton,August,NA,NA,NA,16.4
RUT,Periphyton,August,1.79,0.33,5.42,446.72
RUT,Periphyton,August,1.81,0.31,5.84,446.72
RUT,Periphyton,August,NA,NA,NA,446.72
LLW,Periphyton,August,1.01,0.23,4.39,1048.91
LLW,Periphyton,August,1.01,0.23,4.39,1048.91
LLW,Periphyton,August,NA,NA,NA,1048.91
LLW,Periphyton,August,NA,NA,NA,1048.91
CRO,Periphyton,August,1.32,0.24,5.5,39.95
CRO,Periphyton,August,1.36,0.26,5.23,39.95
CRO,Periphyton,August,0.99,0.24,4.13,39.95
CRO,Periphyton,August,3.28,0.49,6.69,39.95
LLC,Periphyton,August,0.87,0.31,2.81,1082.63
LLC,Periphyton,August,0.54,0.39,1.38,1082.63
LLC,Periphyton,August,NA,NA,NA,1082.63
HCN,Periphyton,August,1.89,0.48,3.94,76.83
HCN,Periphyton,August,0.62,0.25,2.48,76.83
HCN,Periphyton,August,1.81,0.26,6.96,76.83
HCN,Periphyton,August,0.77,0.24,3.21,76.83
HUR,Periphyton,August,0.87,0.26,3.35,292.6
HUR,Periphyton,August,NA,NA,NA,292.6
HUR,Periphyton,August,NA,NA,NA,292.6
FRY,Periphyton,August,1.71,0.22,7.77,349.77
FRY,Periphyton,August,1.22,0.32,3.81,349.77
FRY,Periphyton,August,1.77,0.33,5.36,349.77
FRY,Periphyton,August,NA,NA,NA,349.77
RIC,Periphyton,August,1.2,0.26,4.62,1184.81
RIC,Periphyton,August,0.9,0.34,2.65,1184.81
RIC,Periphyton,August,1.73,0.33,5.24,1184.81
RIC,Periphyton,August,1.88,0.37,5.08,1184.81
